case,n,tau_raw,tau_gap,max_dh,top1_raw,top1_gap
0,21,0.643652561247216,0.8953229398663697,1.8964653519338655,0,1
1,22,0.7933130699088147,0.9574468085106383,4.457961534453652,1,1
2,23,0.8242491657397109,1.0,2.0481608496511785,1,1
3,24,0.7835497835497836,0.9805194805194805,1.3533440412744722,1,1
4,25,0.6803519061583577,0.9824046920821113,2.188584321641039,1,1
5,26,0.7265625000000001,0.9140625000000001,2.7262681702453477,0,1
6,27,0.7366628830874008,0.9523269012485812,1.7506786668272345,0,0
7,28,0.8177727784026997,0.9460067491563555,1.8794789605226079,1,1
8,29,0.815,0.9674999999999999,1.6977559525905968,1,1
9,30,0.9449035812672175,0.9669421487603306,1.4574957930341381,0,0
10,31,0.7750281214848145,0.968503937007874,3.0224767767901697,0,1
11,32,0.8490175801447776,0.9586349534643226,1.5242000799630446,1,1
12,33,0.8791366906474819,0.9482014388489207,2.00036709163331,0,1
13,34,0.9158878504672898,0.9789719626168225,1.4791233149380827,1,1
14,35,0.9422492401215807,0.9452887537993923,2.099417793140693,1,0
15,36,0.8840579710144929,1.0,1.5872956631633894,0,1
16,37,0.9621380846325167,1.0,2.903635928350566,1,1
17,38,0.775255391600454,0.9727582292849036,2.567931101186835,0,1
18,39,0.794238683127572,0.9314128943758574,2.784448882282824,1,1
19,40,0.876177658142665,0.97442799461642,2.538206139657587,0,1
20,41,0.6917404129793512,0.9144542772861359,4.666358466578872,1,1
21,42,0.8097777777777779,0.9146666666666667,1.8177323096498594,0,1
22,43,0.9051148999258711,0.9747961452928097,4.097104583283515,1,1
23,44,0.9230188679245281,0.980377358490566,1.187812683464161,1,1
24,45,0.604887983706721,0.9891378139850645,2.954963213769217,0,1
25,46,0.5573333333333333,0.8471111111111111,1.7096544453590488,0,0
26,47,0.8495077355836849,0.9521800281293952,1.787011239245301,1,1
27,48,0.8788321167883212,0.9576642335766424,1.7056012689050086,0,1
28,49,0.7710547833197058,0.993458708094849,2.7759548818493243,1,1
29,50,0.896755162241888,0.9808259587020651,1.9221436285362374,1,1
30,51,0.9456603773584905,0.9818867924528301,1.3437033335039046,1,1
31,52,0.9680000000000001,0.9840000000000001,1.972158540872738,1,1
32,53,0.7031111111111112,0.8080000000000002,2.202233640509748,1,1
33,54,0.7791304347826086,0.9617391304347827,2.309245943199956,1,1
34,55,0.8129713423831071,0.9381598793363499,2.085599263078186,1,1
35,56,0.7929854576561164,0.9486740804106074,2.4891793713237114,0,0
36,57,0.6706254948535234,0.8970704671417261,2.9186851564521903,0,1
37,58,0.784431137724551,0.9161676646706587,3.173374479595407,1,1
38,59,0.8188034188034186,0.9606837606837605,3.040598336202871,0,1
39,60,0.7095501183898976,0.8689818468823994,2.5201146283924145,1,1
40,61,0.8365217391304347,0.9113043478260869,1.6330050857356508,0,1
41,62,0.7977132805628847,0.9155672823218997,2.875856388666405,0,1
42,63,0.7424373379429557,0.9343128781331027,2.303720442478722,0,0
43,64,0.7493562231759657,0.9570815450643778,6.201600576092173,0,0
44,65,0.5467811158798284,0.9244635193133047,2.5328647437554483,0,1
45,66,0.731004366812227,0.874235807860262,1.8601683598450656,1,1
46,67,0.6871111111111111,0.9057777777777779,2.380019111081351,0,1
47,68,0.6213333333333334,0.704888888888889,1.8798507818225632,0,0
48,69,0.7777777777777778,0.9786666666666668,1.932544640145102,1,1
49,70,0.5840000000000001,0.8702222222222223,1.9504629872089696,1,1
50,71,0.6966666666666665,0.8916666666666665,2.518751786527363,0,1
51,72,0.8204444444444445,0.9324444444444445,2.5466856141825485,1,1
52,73,0.8243478260869564,0.9460869565217391,2.0327439318190677,0,1
53,74,0.8133333333333334,0.9520000000000001,2.3720756556119116,0,1
54,75,0.8115555555555556,1.0,2.5624204868596507,1,1
55,76,0.9320557491289199,0.9686411149825784,2.2234246853510995,0,1
56,77,0.7628524046434496,0.9469320066334993,4.45111597052717,1,1
57,78,0.6284444444444445,0.8453333333333334,1.9737533122219686,1,1
58,79,0.8340535868625755,0.9636992221261882,2.283533009373435,1,1
59,80,0.8497409326424871,0.9827288428324699,2.247599240172094,1,0
60,81,0.825410544511668,0.9049265341400171,2.402791979316595,1,1
61,82,0.776,0.9271111111111112,3.1959705878011166,1,1
62,83,0.7718236819360413,0.9602420051858253,2.2064899715718065,0,1
63,84,0.6853932584269661,0.866897147796024,2.3967797544929743,1,1
64,85,0.8994708994708995,0.9241622574955909,2.129633654641904,1,1
65,86,0.5453759723422644,0.8962834917891096,3.617947596028757,1,1
66,87,0.6724279835390947,0.9144032921810702,3.7102134022632174,0,1
67,88,0.6830870279146142,0.9178981937602627,3.880497032114354,0,1
68,89,0.6200527704485488,0.8979771328056289,2.294646341834411,1,1
69,90,0.8062222222222223,0.9182222222222223,2.152588584080467,1,1
70,91,0.5971855760773966,0.9788918205804749,3.0401187807035215,1,1
71,92,0.5862660944206008,0.8918454935622319,2.9366411362143694,1,1
72,93,0.7729636048526862,0.9029462738301559,1.861494453948236,1,1
73,94,0.8440207972270363,0.9549393414211437,2.068931203343568,0,1
74,95,0.5505226480836237,0.921602787456446,3.1814116916742456,1,1
75,96,0.8093587521663776,0.9220103986135181,2.9567603570139425,1,1
76,97,0.7475555555555556,0.9573333333333334,2.4394369471440487,1,1
77,98,0.919650655021834,0.9563318777292575,1.40358196860713,0,1
78,99,0.7407087294727743,0.9325842696629212,2.4352498484833203,0,1
79,100,0.608318890814558,0.8838821490467937,3.2323221752232967,0,0
80,101,0.7960242005185824,0.9049265341400171,1.9349170010168766,0,0
81,102,0.7804667242869489,0.9204840103716506,2.6271207467319817,0,1
82,103,0.8474870017331022,0.948006932409012,2.370164093796609,0,1
83,104,0.7173333333333335,0.9075555555555557,2.61629894526269,1,1
84,105,0.662020905923345,0.897212543554007,2.1441337580529556,0,0
85,106,0.5367329299913569,0.9533275713050993,2.6453070676402506,0,1
86,107,0.6906666666666668,0.9200000000000002,2.296979926486656,1,1
87,108,0.7991416309012876,0.9433476394849786,1.902613569969349,0,1
88,109,0.8321799307958477,0.9723183391003462,2.4351514932663716,0,1
89,110,0.7713280562884784,0.9261213720316621,2.759370984009909,1,1
90,111,0.8153310104529617,0.9912891986062717,2.25931037225812,0,1
91,112,0.5675213675213674,0.9008547008547008,2.29740095922754,1,1
92,113,0.723292469352014,0.9369527145359017,3.034156729076859,1,1
93,114,0.6391111111111112,0.8933333333333334,1.7509752454241736,1,1
94,115,0.74430823117338,0.9176882661996496,1.9274305197316777,1,1
95,116,0.6034334763948498,0.9021459227467811,78.44945143438748,0,0
96,117,0.7678417884780738,0.936371453138435,2.0299748309390644,0,1
97,118,0.7236051502145923,0.9725321888412016,3.2293588449436794,0,1
98,119,0.8098530682800343,0.9515989628349176,2.5272270952030693,1,1
99,120,0.559233449477352,0.8466898954703833,2.353393684482408,0,1
