case,n,cost_raw,cost_gap,cost_oracle,rt
0,21,2.1818901061090967,2.0711549119543076,2.0711549119543076,32.73
1,22,3.735216687859904,3.735216687859904,3.735216687859904,46.75
2,23,2.16427027215791,2.16427027215791,2.16427027215791,36.14
3,24,1.8957231611726038,1.8957231611726038,1.8957231611726038,45.96
4,25,2.29326251889285,2.29326251889285,2.29326251889285,54.71
5,26,2.655393254015342,2.5311818479981585,2.5311818479981585,50.21
6,27,2.5591705614205225,2.5591705614205225,2.5486274231798984,47.75
7,28,2.51522755785441,2.51522755785441,2.51522755785441,52.83
8,29,2.387125553347803,2.387125553347803,2.387125553347803,59.63
9,30,2.0567577297836843,2.0567577297836843,2.051511857603009,59.67
10,31,2.182395079289232,1.8676190405018376,1.8676190405018376,60.61
11,32,1.9936334619957037,1.9936334619957037,1.9936334619957037,43.57
12,33,10.0,3.020311386163782,3.020311386163782,52.86
13,34,1.7929083237033292,1.7929083237033292,1.7929083237033292,37.44
14,35,3.1068955416958515,3.1413198276533403,3.1068955416958515,60.77
15,36,1.998248408341886,1.961833277953125,1.961833277953125,62.64
16,37,2.645321642535165,2.645321642535165,2.645321642535165,56.68
17,38,1.9911314482944982,1.9120378624191487,1.9120378624191487,56.2
18,39,2.2223698613056415,2.2223698613056415,2.2223698613056415,66.57
19,40,2.4851323916134054,2.4409451392703674,2.4409451392703674,52.24
20,41,1.7709133618182333,1.7709133618182333,1.7709133618182333,41.49
21,42,3.2235027915106444,3.112066479486634,3.112066479486634,65.33
22,43,1.9830795765489964,1.9830795765489964,1.9830795765489964,43.35
23,44,2.3198885478331723,2.3198885478331723,2.3198885478331723,68.37
24,45,2.2290755348894287,2.1221891651359637,2.1221891651359637,67.05
25,46,3.49000134477562,3.45416537569996,3.292550649170814,74.47
26,47,1.8615974125059374,1.8615974125059374,1.8615974125059374,57.63
27,48,2.6181189281947304,2.409449989478653,2.409449989478653,53.69
28,49,1.9939981210438387,1.9939981210438387,1.9939981210438387,80.82
29,50,2.6198434159010677,2.6198434159010677,2.6198434159010677,55.28
30,51,2.109962826621877,2.109962826621877,2.109962826621877,79.4
31,52,3.01942132221149,3.01942132221149,3.01942132221149,92.59
32,53,2.3216489339157946,2.3216489339157946,2.3216489339157946,69.2
33,54,2.3186572329804966,2.3186572329804966,2.3186572329804966,70.93
34,55,2.3454335830945845,2.3454335830945845,2.3454335830945845,59.13
35,56,2.16310001429208,2.16310001429208,2.1115063364771167,74.32
36,57,2.2936815440624945,2.210604637499397,2.210604637499397,73.54
37,58,2.110889224820065,2.110889224820065,2.110889224820065,81.01
38,59,4.252064492729188,4.179098238871718,4.179098238871718,93.8
39,60,1.9403421625781807,1.9403421625781807,1.9403421625781807,74.23
40,61,2.5049291625138794,2.4866600278485613,2.4866600278485613,54.8
41,62,2.126272630982341,2.1067225224929196,2.1067225224929196,55.27
42,63,3.0107023918557143,2.6054438585732944,2.603388209797544,57.34
43,64,3.289108634259282,3.289108634259282,3.2862723478291525,57.3
44,65,3.3626831105622306,2.9736879278543396,2.9736879278543396,60.4
45,66,2.5044966329638103,2.5044966329638103,2.5044966329638103,60.83
46,67,3.0038543992302666,2.9654715692602753,2.9654715692602753,63.53
47,68,1.8979225184105157,1.8979225184105157,1.8796428600216408,64.75
48,69,1.8758198654408111,1.8758198654408111,1.8758198654408111,65.55
49,70,3.5064747610809452,3.5064747610809452,3.5064747610809452,64.94
50,71,1.950131985045775,1.9182901071508993,1.9182901071508993,69.42
51,72,3.618343114710113,3.618343114710113,3.618343114710113,68.42
52,73,2.542248869280257,2.489229245241725,2.489229245241725,69.52
53,74,3.143323164843576,3.0973231080930437,3.0973231080930437,71.48
54,75,2.790733110738301,2.790733110738301,2.790733110738301,41.98
55,76,2.4886789752752034,2.439542392829928,2.439542392829928,43.13
56,77,2.1514335351456744,2.1514335351456744,2.1514335351456744,43.67
57,78,2.4686924048473005,2.4686924048473005,2.4686924048473005,44.65
58,79,1.6350437549298862,1.6350437549298862,1.6350437549298862,46.13
59,80,2.7473767334274366,2.8148835325587127,2.7473767334274366,46.28
60,81,1.7590665335715125,1.7590665335715125,1.7590665335715125,45.55
61,82,2.874218547873655,2.874218547873655,2.874218547873655,44.52
62,83,2.3430306182346436,2.2961878157879188,2.2961878157879188,47.0
63,84,2.8826185338291532,2.8826185338291532,2.8826185338291532,47.75
64,85,2.861587281300124,2.861587281300124,2.861587281300124,49.29
