case,n,tag,family,v_rel,rho_raw,rho_gap
0,21,dit-direct-t0,DiT,0.34615384615384615,1.0589645890335508,1.0088174473360405
0,21,dit-direct-t0-bfix,DiT,0.34615384615384615,1.0589645890335508,1.0088174473360405
0,21,dit-direct-t1,DiT,0.34615384615384615,1.0663831729418392,1.0097763847888124
0,21,dit-direct-t1-bfix,DiT,0.34615384615384615,1.0663831729418392,1.0097763847888124
0,21,dit-direct-t2,DiT,0.34615384615384615,1.2519473302617148,1.1034822161542428
0,21,dit-direct-t2-bfix,DiT,0.34615384615384615,1.2519473302617148,1.1034822161542428
0,21,dit-abacus-0.55,DiT,0.5,1.1008985036513694,1.0142380897311478
0,21,dit-abacus-0.55-bfix,DiT,0.5,1.1008985036513694,1.0142380897311478
0,21,dit-abacus-0.7,DiT,0.4230769230769231,1.09539611046331,1.013526798378479
0,21,dit-abacus-0.7-bfix,DiT,0.4230769230769231,1.09539611046331,1.013526798378479
0,21,dit-abacus-0.85,DiT,0.3076923076923077,1.0699152325379855,1.010232962706746
0,21,dit-abacus-0.85-bfix,DiT,0.3076923076923077,1.0699152325379855,1.010232962706746
0,21,dit-cluster-0.55,DiT,0.2692307692307692,0.9076522435296333,0.9892577941512877
0,21,dit-cluster-0.55-bfix,DiT,0.2692307692307692,0.9076522435296333,0.9892577941512877
0,21,dit-cluster-0.7,DiT,0.2692307692307692,0.9076522435296333,0.9892577941512877
0,21,dit-cluster-0.7-bfix,DiT,0.2692307692307692,0.9076522435296333,0.9892577941512877
0,21,dit-cluster-0.85,DiT,0.2692307692307692,0.9076522435296333,0.9892577941512877
0,21,dit-cluster-0.85-bfix,DiT,0.2692307692307692,0.9076522435296333,0.9892577941512877
0,21,dit-skyline-0.55,DiT,0.2692307692307692,1.0011323643010372,1.0013416496674052
0,21,dit-skyline-0.7,DiT,0.2692307692307692,1.0011323643010372,1.0013416496674052
0,21,dit-skyline-0.85,DiT,0.2692307692307692,1.0011323643010372,1.0013416496674052
0,21,nn-skyline-0.55,classical,0.23076923076923078,0.9426087617242068,0.9937764511731715
0,21,nn-skyline-0.7,classical,0.23076923076923078,0.9426087617242068,0.9937764511731715
0,21,nn-skyline-0.85,classical,0.23076923076923078,0.9426087617242068,0.9937764511731715
0,21,nn-shelf-0.5,classical,0.2692307692307692,0.9729561699127416,0.997699392949791
0,21,nn-shelf-0.65,classical,0.2692307692307692,0.9729561699127416,0.997699392949791
0,21,nn-shelf-0.8,classical,0.2692307692307692,0.9729561699127416,0.997699392949791
0,21,spread-0.55,classical,0.38461538461538464,0.8587662352924854,0.9829383828843173
0,21,spread-0.7,classical,0.38461538461538464,0.8587662352924854,0.9829383828843173
0,21,spread-0.85,classical,0.38461538461538464,0.8587662352924854,0.9829383828843173
0,21,skyline-clust-0.55,classical,0.2692307692307692,0.8659516125332504,0.9193106181895858
0,21,dp-skyline-0.55,classical,0.2692307692307692,0.9197262095706323,0.9908185125560809
0,21,abacus-0.55,classical,0.4230769230769231,0.9746594363598212,0.997919566356175
0,21,skyline-clust-0.7,classical,0.2692307692307692,0.8659516125332504,0.9193106181895858
0,21,dp-skyline-0.7,classical,0.2692307692307692,0.9197262095706323,0.9908185125560809
0,21,abacus-0.7,classical,0.4230769230769231,0.9746594363598212,0.997919566356175
0,21,skyline-clust-0.85,classical,0.2692307692307692,0.8659516125332504,0.9193106181895858
0,21,dp-skyline-0.85,classical,0.2692307692307692,0.9197262095706323,0.9908185125560809
0,21,abacus-0.85,classical,0.4230769230769231,0.9746594363598212,0.997919566356175
0,21,shelf-0.5,classical,0.2692307692307692,0.9830521446469331,0.9990044634068421
0,21,shelf-0.65,classical,0.2692307692307692,0.9830521446469331,0.9990044634068421
0,21,shelf-0.8,classical,0.2692307692307692,0.9830521446469331,0.9990044634068421
0,21,boundary-fix,classical,0.23076923076923078,0.9426087617242068,0.9937764511731715
