case,n,eps_h,eps_a,hpwl_star,area_star,max_abs_dh,max_abs_da
0,21,0.7723536434716656,0.3391368618060031,4.224009275436401,6955.0,1.8964653519338655,2.288304083120084
1,22,1.9506414709045168,0.5054384248824173,4.203044295310974,9639.0,4.457961534453652,2.2259994919371104
2,23,0.4558081244359844,0.3740481659214667,7.319643974304199,9078.0,2.0481608496511785,1.6026497615190756
3,24,0.5699396406453732,0.3948035122298901,2.706777635961771,8378.0,1.3533440412744722,1.664195351696059
4,25,0.8675712527870851,0.5020159584365753,10.280011892318726,7303.0,2.188584321641039,1.1592543390245729
5,26,1.09734192441553,0.4122108240973903,8.139575004577637,8100.0,2.7262681702453477,1.3894398113019193
6,27,0.7755891797452521,0.3436980415388269,9.79465788602829,6675.0,1.7506786668272345,1.6541643545315932
7,28,0.8716313324128868,0.6058108385324861,33.46553524583578,10400.0,1.8794789605226079,1.5073790222414234
8,29,0.9462334868237148,0.41768983930265,13.91958600282669,8736.0,1.6977559525905968,1.3468350470159847
9,30,0.7217909539845659,0.2823031864078487,17.86042496562004,9880.0,1.4574957930341381,1.315986938396655
10,31,1.2130008043372467,0.4542554318572407,9.032452583312988,9384.0,3.0224767767901697,1.4541732766063724
11,32,1.05458586385889,0.48991139563458086,8.369615083560348,9682.0,1.5242000799630446,1.6843372422322396
12,33,0.717349018384202,0.4307298528701522,13.02326250076294,10010.0,2.00036709163331,1.542893808239406
13,34,0.654234028930309,0.3699868466773215,14.403503656387329,9600.0,2.901713408057508,1.9645496569731176
14,35,0.8208619738158458,0.37136474452653556,19.46352607011795,8262.0,2.099417793140693,1.9791968775832567
15,36,0.9446609928360394,0.6145843065305827,24.966972589492798,10812.0,1.5872956631633894,1.7561566266308535
16,37,0.7572603250202743,0.4835958664131774,25.827973037958145,11543.0,2.903635928350566,2.125155788244565
17,38,1.4596556214268253,0.7247686718067137,10.85956346988678,15872.0,2.567931101186835,1.855990004245811
18,39,1.457865876891237,0.4751391486804395,9.37622082233429,11500.0,2.784448882282824,1.5946332314528395
19,40,0.8747464030560079,0.3499711547058417,17.97185468673706,12650.0,2.538206139657587,1.5776939058564747
20,41,1.4700390030154313,0.46909486450913507,16.794945240020752,11830.0,4.666358466578872,1.4868938091181927
21,42,0.9407759452530489,0.5333921239631072,18.659390926361084,13184.0,1.8177323096498594,1.7952322522671638
22,43,1.0986940509528873,0.43434638494325806,24.053417801856995,13802.0,4.097104583283515,2.7191571614879826
23,44,0.9025771362580606,0.43036625987578825,92.31591415405273,11532.0,1.5666789118084123,2.0067304585832297
24,45,1.3646763580178076,0.9862573914703461,24.38311243057251,13482.0,2.954963213769217,2.1431912447855335
25,46,1.123931522076464,0.5296611802927913,45.52871799468994,12864.0,1.7096544453590488,2.07199437892536
26,47,1.012512321001759,0.42710422294827466,26.750430822372437,18088.0,1.787011239245301,1.4471036607418812
27,48,0.9381655379015414,0.3067469922529944,29.070360898971558,15875.0,3.1498541804395077,1.125504010160137
28,49,1.3062407156500457,0.6159269056888044,21.06318187713623,15544.0,2.7759548818493243,1.9252590924679296
29,50,1.3002350066918051,0.5102006182642871,18.953474402427673,19710.0,1.9221436285362374,1.5662791503585294
30,51,0.8216299420734545,0.36630424485017365,69.14704132080078,18288.0,1.3437033335039046,1.8121910524237634
31,52,1.1745845074097852,0.5989473971875701,70.35037517547607,17272.0,1.972158540872738,1.5427286332251637
32,53,0.9293871927605426,0.47951834315375996,35.591615088284016,16200.0,3.5044525729610254,2.0815075834098486
33,54,1.520818939598009,0.9458062357781418,36.75330150127411,17920.0,2.309245943199956,1.6856579463661494
34,55,1.1297996464033604,0.42644436924422613,26.56203293800354,16416.0,3.785263107895605,2.272815159288064
35,56,1.4776041443906194,0.6156368599180086,21.67288863658905,17250.0,2.4891793713237114,1.6890249755749056
36,57,1.6154813054999324,0.693537925605884,48.86099910736084,19468.0,2.9186851564521903,1.738359333846207
37,58,1.3638417214385608,0.6016130155384165,55.188109397888184,16758.0,3.173374479595407,1.6395554141547741
38,59,1.7060904770756253,0.8618286831186754,76.70390486717224,17760.0,3.040598336202871,2.030635456912104
39,60,1.0958604165625316,0.37234592492068597,94.90005850791931,17584.0,2.5201146283924145,1.6151517970859783
40,61,1.1850585929985242,0.4356518909634537,43.51637077331543,19388.0,1.986183135962499,1.3901164312366268
41,62,1.5870836416520349,0.9326449257015208,52.13325762748718,21504.0,2.875856388666405,1.6056675658387194
42,63,1.140214565309408,0.42652277713392395,25.330843448638916,17856.0,3.732014370098778,1.8127163414822296
43,64,1.4615122103907447,0.9898487114889294,63.40838634967804,20538.0,6.201600576092173,2.2427103905758945
44,65,1.1950005061523097,0.6304761088739985,108.79293870925903,19344.0,2.5328647437554483,1.6605619126158266
45,66,0.9275823788260282,0.5420134650636685,80.30556869506836,20349.0,2.517039615463296,1.3858661161257684
46,67,1.2899353870876258,0.4080446237866342,58.07007598876953,23056.0,2.380019111081351,1.449187571121549
47,68,1.2930930684144237,0.33519861839813725,42.33544045686722,23373.0,1.8798507818225632,1.3078721979352188
48,69,1.3483967314161611,0.7797015537206937,94.13239097595215,23858.0,1.932544640145102,2.051025904258182
49,70,1.4116324878184754,0.8754788781230809,71.97932577133179,22218.0,1.9504629872089696,1.6048145801792086
50,71,1.4329335911044603,0.4617252592780201,31.703044652938843,19764.0,2.518751786527363,1.1504860277361435
51,72,1.9700819018862465,1.0426747305592214,75.41585159301758,23688.0,2.5466856141825485,1.7475969010088381
52,73,1.3835677959549915,0.7995771697100784,72.19385552406311,19239.0,2.0327439318190677,1.6462250670927556
