case,n,idx,tag,family,h_solver,a_solver,v_solver,hpwl_gap,area_gap,v_rel,feasible,cost_contest,hpwl_eval,area_eval
0,21,0,dit-direct-t0,DiT,5.37338650226593,8295.156429851271,0.34615384615384615,0.2721057087596285,0.19268963764935604,0.34615384615384615,True,2.178073024891352,5.373386313136268,8295.156429851271
0,21,1,dit-direct-t0-bfix,DiT,5.37338650226593,8295.156429851271,0.34615384615384615,0.2721057087596285,0.19268963764935604,0.34615384615384615,True,2.178073024891352,5.373386313136268,8295.156429851271
0,21,2,dit-direct-t1,DiT,5.075969994068146,7943.358544431879,0.34615384615384615,0.20169486757223304,0.14210762680544625,0.34615384615384615,True,2.0711549119543076,5.07597026686943,7943.358544431879
0,21,3,dit-direct-t1-bfix,DiT,5.075969994068146,7943.358544431879,0.34615384615384615,0.20169486757223304,0.14210762680544625,0.34615384615384615,True,2.0711549119543076,5.07597026686943,7943.358544431879
0,21,4,dit-direct-t2,DiT,4.87823361158371,9051.495751935945,0.38461538461538464,0.15488235451739682,0.3014372037291078,0.34615384615384615,True,2.170583199990357,4.8782337775193145,9051.495751935945
0,21,5,dit-direct-t2-bfix,DiT,4.87823361158371,9051.495751935945,0.38461538461538464,0.15488235451739682,0.3014372037291078,0.34615384615384615,True,2.170583199990357,4.8782337775193145,9051.495751935945
0,21,6,dit-abacus-0.55,DiT,11.499011039733887,19169.7941385735,0.5,1.722297827145765,1.7562608394785764,0.5,True,6.585472779862404,11.499011272364072,19169.7941385735
0,21,7,dit-abacus-0.55-bfix,DiT,11.499011039733887,19169.7941385735,0.5,1.722297827145765,1.7562608394785764,0.5,True,6.585472779862404,11.499011272364072,19169.7941385735
0,21,8,dit-abacus-0.7,DiT,9.642758131027222,15914.002304192809,0.4230769230769231,1.2828450431167993,1.2881383614942932,0.4230769230769231,True,4.71102871351974,9.642758636509372,15914.002304192809
0,21,9,dit-abacus-0.7-bfix,DiT,9.642758131027222,15914.002304192809,0.4230769230769231,1.2828450431167993,1.2881383614942932,0.4230769230769231,True,4.71102871351974,9.642758636509372,15914.002304192809
0,21,10,dit-abacus-0.85,DiT,7.476783037185669,11776.392711314957,0.3076923076923077,0.7700679521598365,0.6932268456240053,0.3076923076923077,True,2.8338298051409865,7.4767834480758655,11776.392711314957
0,21,11,dit-abacus-0.85-bfix,DiT,7.476783037185669,11776.392711314957,0.3076923076923077,0.7700679521598365,0.6932268456240053,0.3076923076923077,True,2.8338298051409865,7.4767834480758655,11776.392711314957
0,21,12,dit-cluster-0.55,DiT,9.19351077079773,10719.749844869744,0.2692307692307692,1.1764890774841172,0.5413011998374901,0.2692307692307692,True,2.816838336061818,9.193510051178928,10719.749844869744
0,21,13,dit-cluster-0.55-bfix,DiT,9.19351077079773,10719.749844869744,0.2692307692307692,1.1764890774841172,0.5413011998374901,0.2692307692307692,True,2.816838336061818,9.193510051178928,10719.749844869744
0,21,14,dit-cluster-0.7,DiT,9.19351077079773,10719.749844869744,0.2692307692307692,1.1764890774841172,0.5413011998374901,0.2692307692307692,True,2.816838336061818,9.193510051178928,10719.749844869744
0,21,15,dit-cluster-0.7-bfix,DiT,9.19351077079773,10719.749844869744,0.2692307692307692,1.1764890774841172,0.5413011998374901,0.2692307692307692,True,2.816838336061818,9.193510051178928,10719.749844869744
0,21,16,dit-cluster-0.85,DiT,9.19351077079773,10719.749844869744,0.2692307692307692,1.1764890774841172,0.5413011998374901,0.2692307692307692,True,2.816838336061818,9.193510051178928,10719.749844869744
0,21,17,dit-cluster-0.85-bfix,DiT,9.19351077079773,10719.749844869744,0.2692307692307692,1.1764890774841172,0.5413011998374901,0.2692307692307692,True,2.816838336061818,9.193510051178928,10719.749844869744
0,21,18,dit-skyline-0.55,DiT,7.4864383935928345,10391.043080397894,0.2692307692307692,0.7723536434716656,0.4940392638961746,0.2692307692307692,True,2.474830497631706,7.486438229377816,10391.043080397894
0,21,19,dit-skyline-0.7,DiT,7.4864383935928345,10391.043080397894,0.2692307692307692,0.7723536434716656,0.4940392638961746,0.2692307692307692,True,2.474830497631706,7.486438229377816,10391.043080397894
0,21,20,dit-skyline-0.85,DiT,7.4864383935928345,10391.043080397894,0.2692307692307692,0.7723536434716656,0.4940392638961746,0.2692307692307692,True,2.474830497631706,7.486438229377816,10391.043080397894
0,21,21,nn-skyline-0.55,classical,7.480224132537842,9313.696873860752,0.23076923076923078,0.7708825906760973,0.33913686180600316,0.23076923076923078,True,2.1818901061090967,7.480224488724679,9313.696873860752
0,21,22,nn-skyline-0.7,classical,7.480224132537842,9313.696873860752,0.23076923076923078,0.7708825906760973,0.33913686180600316,0.23076923076923078,True,2.1818901061090967,7.480224488724679,9313.696873860752
0,21,23,nn-skyline-0.85,classical,7.480224132537842,9313.696873860752,0.23076923076923078,0.7708825906760973,0.33913686180600316,0.23076923076923078,True,2.1818901061090967,7.480224488724679,9313.696873860752
0,21,24,nn-shelf-0.5,classical,7.931082725524902,10449.0,0.2692307692307692,0.8776196171650357,0.502372393961179,0.2692307692307692,True,2.560900524862877,7.931082678646455,10449.0
0,21,25,nn-shelf-0.65,classical,7.931082725524902,10449.0,0.2692307692307692,0.8776196171650357,0.502372393961179,0.2692307692307692,True,2.560900524862877,7.931082678646455,10449.0
0,21,26,nn-shelf-0.8,classical,7.931082725524902,10449.0,0.2692307692307692,0.8776196171650357,0.502372393961179,0.2692307692307692,True,2.560900524862877,7.931082678646455,10449.0
0,21,27,spread-0.55,classical,7.98847222328186,8486.853372762022,0.38461538461538464,0.8912062298338604,0.22025210248195853,0.38461538461538464,True,2.9693598249816877,7.988472656581333,8486.853372762022
0,21,28,spread-0.7,classical,7.98847222328186,8486.853372762022,0.38461538461538464,0.8912062298338604,0.22025210248195853,0.38461538461538464,True,2.9693598249816877,7.988472656581333,8486.853372762022
0,21,29,spread-0.85,classical,7.98847222328186,8486.853372762022,0.38461538461538464,0.8912062298338604,0.22025210248195853,0.38461538461538464,True,2.9693598249816877,7.988472656581333,8486.853372762022
0,21,30,skyline-clust-0.55,classical,7.584702014923096,9313.696873860752,0.23076923076923078,0.7956167571305167,0.33913686180600316,0.2692307692307692,True,2.3750920598701275,7.584701837248335,9313.696873860752
0,21,31,dp-skyline-0.55,classical,7.633558392524719,9105.604763910835,0.2692307692307692,0.8071831716488251,0.3092170760475679,0.2692307692307692,True,2.361186358943283,7.6335584794572116,9105.604763910835
0,21,32,abacus-0.55,classical,8.541948080062866,11289.411419265663,0.4230769230769231,1.022237054356252,0.6232079682624966,0.4230769230769231,True,3.757133783900868,8.541948074731994,11289.411419265663
0,21,33,skyline-clust-0.7,classical,7.584702014923096,9313.696873860752,0.23076923076923078,0.7956167571305167,0.33913686180600316,0.2692307692307692,True,2.3750920598701275,7.584701837248335,9313.696873860752
0,21,34,dp-skyline-0.7,classical,7.633558392524719,9105.604763910835,0.2692307692307692,0.8071831716488251,0.3092170760475679,0.2692307692307692,True,2.361186358943283,7.6335584794572116,9105.604763910835
0,21,35,abacus-0.7,classical,8.541948080062866,11289.411419265663,0.4230769230769231,1.022237054356252,0.6232079682624966,0.4230769230769231,True,3.757133783900868,8.541948074731994,11289.411419265663
0,21,36,skyline-clust-0.85,classical,7.584702014923096,9313.696873860752,0.23076923076923078,0.7956167571305167,0.33913686180600316,0.2692307692307692,True,2.3750920598701275,7.584701837248335,9313.696873860752
0,21,37,dp-skyline-0.85,classical,7.633558392524719,9105.604763910835,0.2692307692307692,0.8071831716488251,0.3092170760475679,0.2692307692307692,True,2.361186358943283,7.6335584794572116,9105.604763910835
0,21,38,abacus-0.85,classical,8.541948080062866,11289.411419265663,0.4230769230769231,1.022237054356252,0.6232079682624966,0.4230769230769231,True,3.757133783900868,8.541948074731994,11289.411419265663
0,21,39,shelf-0.5,classical,8.153558015823364,10945.0,0.2692307692307692,0.9302888602068292,0.573687994248742,0.2692307692307692,True,2.6548394600177545,8.153558049785206,10945.0
0,21,40,shelf-0.65,classical,8.153558015823364,10945.0,0.2692307692307692,0.9302888602068292,0.573687994248742,0.2692307692307692,True,2.6548394600177545,8.153558049785206,10945.0
0,21,41,shelf-0.8,classical,8.153558015823364,10945.0,0.2692307692307692,0.9302888602068292,0.573687994248742,0.2692307692307692,True,2.6548394600177545,8.153558049785206,10945.0
0,21,42,boundary-fix,classical,7.480224132537842,9313.696873860752,0.23076923076923078,0.7708825906760973,0.33913686180600316,0.23076923076923078,True,2.1818901061090967,7.480224488724679,9313.696873860752
0,21,43,dp-nudge,classical,12.234696865081787,22870.154898100183,0.5,1.8964653519338655,2.288304083120084,0.5,True,7.434369738960679,12.234696512548808,22870.154898100183
