case,n,tag,family,v_rel,rho_raw,rho_gap
0,21,dit-direct-t0,DiT,0.38461538461538464,1.0619195815137006,1.0125921128888926
0,21,dit-direct-t0-bfix,DiT,0.38461538461538464,1.0619195815137006,1.0125921128888926
0,21,dit-direct-t1,DiT,0.2692307692307692,1.1244557540016398,1.0217472897254614
0,21,dit-direct-t1-bfix,DiT,0.2692307692307692,1.1244557540016398,1.0217472897254614
0,21,dit-direct-t2,DiT,0.3076923076923077,1.1221618021511723,1.0214114600888928
0,21,dit-direct-t2-bfix,DiT,0.3076923076923077,1.1221618021511723,1.0214114600888928
0,21,dit-abacus-0.55,DiT,0.5,1.079568331929322,1.0151758767221402
0,21,dit-abacus-0.55-bfix,DiT,0.5,1.079568331929322,1.0151758767221402
0,21,dit-abacus-0.7,DiT,0.4230769230769231,1.077578923228944,1.0148846057426835
0,21,dit-abacus-0.7-bfix,DiT,0.4230769230769231,1.077578923228944,1.0148846057426835
0,21,dit-abacus-0.85,DiT,0.4230769230769231,1.1177288441360929,1.0207624872914873
0,21,dit-abacus-0.85-bfix,DiT,0.4230769230769231,1.1177288441360929,1.0207624872914873
0,21,dit-cluster-0.55,DiT,0.23076923076923078,0.8992705420481165,0.9887805553067981
0,21,dit-cluster-0.55-bfix,DiT,0.23076923076923078,0.8992705420481165,0.9887805553067981
0,21,dit-cluster-0.7,DiT,0.23076923076923078,0.8992705420481165,0.9887805553067981
0,21,dit-cluster-0.7-bfix,DiT,0.23076923076923078,0.8992705420481165,0.9887805553067981
0,21,dit-cluster-0.85,DiT,0.23076923076923078,0.8992705420481165,0.9887805553067981
0,21,dit-cluster-0.85-bfix,DiT,0.23076923076923078,0.8992705420481165,0.9887805553067981
0,21,dit-skyline-0.55,DiT,0.23076923076923078,0.9821704143196849,1.0009169365505652
0,21,dit-skyline-0.7,DiT,0.23076923076923078,0.9821704143196849,1.0009169365505652
0,21,dit-skyline-0.85,DiT,0.23076923076923078,0.9821704143196849,1.0009169365505652
0,21,nn-skyline-0.55,classical,0.23076923076923078,0.9396673741078571,0.9946945456080538
0,21,nn-skyline-0.7,classical,0.23076923076923078,0.9396673741078571,0.9946945456080538
0,21,nn-skyline-0.85,classical,0.23076923076923078,0.9396673741078571,0.9946945456080538
0,21,nn-shelf-0.5,classical,0.2692307692307692,0.9699200839504198,0.9991235223015348
0,21,nn-shelf-0.65,classical,0.2692307692307692,0.9699200839504198,0.9991235223015348
0,21,nn-shelf-0.8,classical,0.2692307692307692,0.9699200839504198,0.9991235223015348
0,21,spread-0.55,classical,0.38461538461538464,0.8560864762318884,0.9824584244536182
0,21,spread-0.7,classical,0.38461538461538464,0.8560864762318884,0.9824584244536182
0,21,spread-0.85,classical,0.38461538461538464,0.8560864762318884,0.9824584244536182
0,21,skyline-clust-0.55,classical,0.2692307692307692,0.8632494316784869,0.9200462249665656
0,21,dp-skyline-0.55,classical,0.2692307692307692,0.9168562263993377,0.9913550459096863
0,21,abacus-0.55,classical,0.4230769230769231,0.9716180353961561,0.9993720972892025
0,21,skyline-clust-0.7,classical,0.2692307692307692,0.8632494316784869,0.9200462249665656
0,21,dp-skyline-0.7,classical,0.2692307692307692,0.9168562263993377,0.9913550459096863
0,21,abacus-0.7,classical,0.4230769230769231,0.9716180353961561,0.9993720972892025
0,21,skyline-clust-0.85,classical,0.2692307692307692,0.8632494316784869,0.9200462249665656
0,21,dp-skyline-0.85,classical,0.2692307692307692,0.9168562263993377,0.9913550459096863
0,21,abacus-0.85,classical,0.4230769230769231,0.9716180353961561,0.9993720972892025
0,21,shelf-0.5,classical,0.2692307692307692,0.9799845544420626,1.0005969406699022
0,21,shelf-0.65,classical,0.2692307692307692,0.9799845544420626,1.0005969406699022
0,21,shelf-0.8,classical,0.2692307692307692,0.9799845544420626,1.0005969406699022
0,21,boundary-fix,classical,0.23076923076923078,0.9396673741078571,0.9946945456080538
0,21,dp-nudge,classical,0.46153846153846156,1.2125719246858568,1.0346474009731024
1,22,dit-direct-t0,DiT,0.5517241379310345,1.3706057465110901,1.0965228292202598
1,22,dit-direct-t0-bfix,DiT,0.5517241379310345,1.3706057465110901,1.0965228292202598
