case,n,eps_h,eps_a,hpwl_star,area_star,max_abs_dh,max_abs_da
0,21,0.7956167571305166,0.3391368618060031,4.224009275436401,6955.0,1.8178809764289448,2.436682804718311
1,22,1.725627666139728,0.4045646065221926,4.203044295310974,9639.0,4.457961534453652,2.2259994919371104
2,23,0.4558081244359844,0.3740481659214667,7.319643974304199,9078.0,2.870807737123433,1.609362527109937
3,24,0.5976409291404798,0.371032021909534,2.706777635961771,8378.0,1.4806975255612342,1.7367986707663776
4,25,0.8724084067787443,0.5020159584365753,10.280011892318726,7303.0,2.188584321641039,1.1791796187993326
5,26,1.332578654078549,0.4122108240973903,8.139575004577637,8100.0,2.7262681702453477,1.5440705744032523
6,27,0.9052887296222787,0.4190437541534251,9.79465788602829,6675.0,1.8759155795933282,1.911372420067354
7,28,0.8564827647489299,0.657897406382485,33.46553524583578,10400.0,1.8794789605226079,1.633991477517396
8,29,0.8741768495148905,0.37531346388717735,13.91958600282669,8736.0,1.6977559525905968,1.400069673576088
9,30,0.5697059584521551,0.2823031864078487,17.86042496562004,9880.0,1.4574957930341381,1.0633353348281538
10,31,1.2130008043372467,0.4542554318572407,9.032452583312988,9384.0,3.0224767767901697,1.5309061725751172
11,32,0.9253950729768057,0.39213199733870474,8.369615083560348,9682.0,1.8818414983097336,1.3577349611787461
12,33,0.7127187159201398,0.45547898225593175,13.02326250076294,10010.0,2.00036709163331,1.577849461440394
13,34,0.6950295331072542,0.3916359784078871,14.403503656387329,9600.0,2.0423330835423927,2.0574154163252305
14,35,0.8964287192924048,0.3770421184735029,19.46352607011795,8262.0,2.099417793140693,1.8952682522624194
15,36,0.9223583243005944,0.6145843065305827,24.966972589492798,10812.0,2.0650274341927024,1.806989273495363
16,37,0.7498793131913963,0.516771095151032,25.827973037958145,11543.0,2.903635928350566,2.309038463592289
17,38,1.2815352016091577,0.6630656179701484,10.85956346988678,15872.0,2.567931101186835,1.4641932250376875
18,39,1.457865876891237,0.4734406375155149,9.37622082233429,11500.0,2.784448882282824,1.6722388669460688
19,40,0.9053629645190773,0.3594121698404287,17.97185468673706,12650.0,2.538206139657587,1.5008135668051437
20,41,1.4556552707597636,0.46909486450913507,16.794945240020752,11830.0,4.666358466578872,1.6629106467183705
21,42,0.9316777151538713,0.5333921239631072,18.659390926361084,13184.0,1.5332933355105982,1.6963181174347126
22,43,1.0049612760944284,0.3409328251635948,24.053417801856995,13802.0,4.097104583283515,2.7191571614879826
23,44,0.9025771362580606,0.4636490952190473,92.31591415405273,11532.0,1.5666789118084123,2.097375652551069
24,45,1.3674565233100417,0.8982276884711369,24.38311243057251,13482.0,2.954963213769217,1.4697010081518762
25,46,1.1802471836585688,0.5296611802927913,45.52871799468994,12864.0,1.608436561210653,2.173620218288781
26,47,1.023232342937845,0.4221124416410331,26.750430822372437,18088.0,1.8877988069351925,1.1254090076919836
27,48,1.0031987152185846,0.31141856118293654,29.070360898971558,15875.0,3.1498541804395077,1.4063437670181707
28,49,1.3400917308874285,0.6159269056888044,21.06318187713623,15544.0,2.7759548818493243,2.0212648472088524
29,50,1.325006014158825,0.533181959055866,18.953474402427673,19710.0,1.943118824452216,1.6653922636529561
30,51,0.9608577185158551,0.3623326352758358,69.14704132080078,18288.0,1.3673928094542833,1.785257041040589
31,52,1.1527860246469888,0.5989473971875701,70.35037517547607,17272.0,1.972158540872738,1.8224387826135047
32,53,0.9293871927605426,0.47951834315375996,35.591615088284016,16200.0,3.5044525729610254,2.1323110026720067
33,54,1.5289523834081136,0.9696075809350986,36.75330150127411,17920.0,2.0478904791462917,1.5617202606402685
34,55,1.0341255550226718,0.3863760899111697,26.56203293800354,16416.0,3.4637105172896026,2.0891659617798193
35,56,1.4776041443906194,0.6065688629820174,21.67288863658905,17250.0,2.4891793713237114,1.4307254922178763
36,57,1.5074637867730534,0.78018764320243,48.86099910736084,19468.0,2.9186851564521903,1.5385017050478873
37,58,1.26509151671396,0.6016130155384165,55.188109397888184,16758.0,3.173374479595407,1.3425511703609312
