case,n,idx,tag,family,h_solver,a_solver,v_solver,hpwl_gap,area_gap,v_rel,feasible,cost_contest,hpwl_eval,area_eval
0,21,0,dit-direct-t0,DiT,5.098219037055969,8306.37590417511,0.2692307692307692,0.20696216514676205,0.19430278996047579,0.2692307692307692,True,1.7880651380137091,5.0982193806807246,8306.37590417511
0,21,1,dit-direct-t0-bfix,DiT,5.098219037055969,8306.37590417511,0.2692307692307692,0.20696216514676205,0.19430278996047579,0.2692307692307692,True,1.7880651380137091,5.0982193806807246,8306.37590417511
0,21,2,dit-direct-t1,DiT,4.99541312456131,7629.383064514946,0.2692307692307692,0.18262362340513194,0.09696377635010013,0.2692307692307692,True,1.6974598117081248,4.995413154613483,7629.383064514946
0,21,3,dit-direct-t1-bfix,DiT,4.99541312456131,7629.383064514946,0.2692307692307692,0.18262362340513194,0.09696377635010013,0.2692307692307692,True,1.6974598117081248,4.995413154613483,7629.383064514946
0,21,4,dit-direct-t2,DiT,4.872476816177368,7922.310441631872,0.3076923076923077,0.15351942112275602,0.13908130001896074,0.3076923076923077,True,1.843651986421093,4.87247673421855,7922.310441631872
0,21,5,dit-direct-t2-bfix,DiT,4.872476816177368,7922.310441631872,0.3076923076923077,0.15351942112275602,0.13908130001896074,0.3076923076923077,True,1.843651986421093,4.87247673421855,7922.310441631872
0,21,6,dit-abacus-0.55,DiT,11.677480697631836,17900.58333696931,0.46153846153846156,1.7645490458981505,1.573771867285307,0.46153846153846156,True,5.839615735857729,11.677480812272641,17900.58333696931
0,21,7,dit-abacus-0.55-bfix,DiT,11.677480697631836,17900.58333696931,0.46153846153846156,1.7645490458981505,1.573771867285307,0.46153846153846156,True,5.839615735857729,11.677480812272641,17900.58333696931
0,21,8,dit-abacus-0.7,DiT,11.728482723236084,18414.33556274037,0.5,1.7766233868187817,1.6476399083738849,0.5,True,6.408075534542671,11.72848294031617,18414.33556274037
0,21,9,dit-abacus-0.7-bfix,DiT,11.728482723236084,18414.33556274037,0.5,1.7766233868187817,1.6476399083738849,0.5,True,6.408075534542671,11.72848294031617,18414.33556274037
0,21,10,dit-abacus-0.85,DiT,10.016027212142944,17844.30855380092,0.46153846153846156,1.3712133499253212,1.5656805972395287,0.46153846153846156,True,5.400492785835986,10.016027184123178,17844.30855380092
0,21,11,dit-abacus-0.85-bfix,DiT,10.016027212142944,17844.30855380092,0.46153846153846156,1.3712133499253212,1.5656805972395287,0.46153846153846156,True,5.400492785835986,10.016027184123178,17844.30855380092
0,21,12,dit-cluster-0.55,DiT,8.257617950439453,10295.478339016365,0.34615384615384615,0.9549241131663119,0.4802988266019216,0.34615384615384615,True,2.9834084540600165,8.257617586788783,10295.478339016365
0,21,13,dit-cluster-0.55-bfix,DiT,8.257617950439453,10295.478339016365,0.34615384615384615,0.9549241131663119,0.4802988266019216,0.34615384615384615,True,2.9834084540600165,8.257617586788783,10295.478339016365
