case,n,tag,family,v_rel,rho_raw,rho_gap
0,21,dit-direct-t0,DiT,0.2692307692307692,1.0971621643228422,1.0198081493850304
0,21,dit-direct-t0-bfix,DiT,0.2692307692307692,1.0971621643228422,1.0198081493850304
0,21,dit-direct-t1,DiT,0.2692307692307692,1.0616174631058743,1.015007091795828
0,21,dit-direct-t1-bfix,DiT,0.2692307692307692,1.0616174631058743,1.015007091795828
0,21,dit-direct-t2,DiT,0.3076923076923077,1.0960335529607217,1.0196557427976747
0,21,dit-direct-t2-bfix,DiT,0.3076923076923077,1.0960335529607217,1.0196557427976747
0,21,dit-abacus-0.55,DiT,0.46153846153846156,1.0636415591254167,1.0152804882422282
0,21,dit-abacus-0.55-bfix,DiT,0.46153846153846156,1.0636415591254167,1.0152804882422282
0,21,dit-abacus-0.7,DiT,0.5,1.0767991330011875,1.017057700722878
0,21,dit-abacus-0.7-bfix,DiT,0.5,1.0767991330011875,1.017057700722878
0,21,dit-abacus-0.85,DiT,0.46153846153846156,1.146303789743599,1.0264458245999328
0,21,dit-abacus-0.85-bfix,DiT,0.46153846153846156,1.146303789743599,1.0264458245999328
0,21,dit-cluster-0.55,DiT,0.34615384615384615,0.9509424661923768,1.0000580527109906
0,21,dit-cluster-0.55-bfix,DiT,0.34615384615384615,0.9509424661923768,1.0000580527109906
0,21,dit-cluster-0.7,DiT,0.34615384615384615,0.9509424661923768,1.0000580527109906
0,21,dit-cluster-0.7-bfix,DiT,0.34615384615384615,0.9509424661923768,1.0000580527109906
0,21,dit-cluster-0.85,DiT,0.34615384615384615,0.9509424661923768,1.0000580527109906
0,21,dit-cluster-0.85-bfix,DiT,0.34615384615384615,0.9509424661923768,1.0000580527109906
0,21,dit-skyline-0.55,DiT,0.3076923076923077,0.9122616612445815,0.9303000829181602
0,21,dit-skyline-0.7,DiT,0.3076923076923077,0.9122616612445815,0.9303000829181602
0,21,dit-skyline-0.85,DiT,0.3076923076923077,0.9122616612445815,0.9303000829181602
0,21,nn-skyline-0.55,classical,0.23076923076923078,0.9502165059948473,0.9999599505324182
0,21,nn-skyline-0.7,classical,0.23076923076923078,0.9502165059948473,0.9999599505324182
0,21,nn-skyline-0.85,classical,0.23076923076923078,0.9502165059948473,0.9999599505324182
0,21,nn-shelf-0.5,classical,0.2692307692307692,0.9808088464714639,1.0040921374761753
0,21,nn-shelf-0.65,classical,0.2692307692307692,0.9808088464714639,1.0040921374761753
0,21,nn-shelf-0.8,classical,0.2692307692307692,0.9808088464714639,1.0040921374761753
0,21,spread-0.55,classical,0.38461538461538464,0.8656972910726325,0.9885437885857412
0,21,spread-0.7,classical,0.38461538461538464,0.8656972910726325,0.9885437885857412
0,21,spread-0.85,classical,0.38461538461538464,0.8656972910726325,0.9885437885857412
0,21,skyline-clust-0.55,classical,0.2692307692307692,0.8729406611039968,0.9249889471459942
0,21,dp-skyline-0.55,classical,0.2692307692307692,0.9271492700020035,0.9968442368646097
0,21,abacus-0.55,classical,0.4230769230769231,0.9825258598898006,1.0043240548942616
0,21,skyline-clust-0.7,classical,0.2692307692307692,0.8729406611039968,0.9249889471459942
0,21,dp-skyline-0.7,classical,0.2692307692307692,0.9271492700020035,0.9968442368646097
0,21,abacus-0.7,classical,0.4230769230769231,0.9825258598898006,1.0043240548942616
0,21,skyline-clust-0.85,classical,0.2692307692307692,0.8729406611039968,0.9249889471459942
0,21,dp-skyline-0.85,classical,0.2692307692307692,0.9271492700020035,0.9968442368646097
0,21,abacus-0.85,classical,0.4230769230769231,0.9825258598898006,1.0043240548942616
0,21,shelf-0.5,classical,0.2692307692307692,0.9909863052710063,1.0054668196133383
0,21,shelf-0.65,classical,0.2692307692307692,0.9909863052710063,1.0054668196133383
0,21,shelf-0.8,classical,0.2692307692307692,0.9909863052710063,1.0054668196133383
0,21,boundary-fix,classical,0.2692307692307692,1.0616174631058743,1.015007091795828
0,21,dp-nudge,classical,0.5,1.2308664119952928,1.0378678361562625
0,21,sp-sa,classical,0.38461538461538464,0.771809402805424,0.9758621755011235
1,22,dit-direct-t0,DiT,0.4482758620689655,1.4229856037309008,1.093719576395597
1,22,dit-direct-t0-bfix,DiT,0.4482758620689655,1.4229856037309008,1.093719576395597
1,22,dit-direct-t2,DiT,0.4827586206896552,1.3759769712682053,1.0833040382113512
1,22,dit-direct-t2-bfix,DiT,0.4827586206896552,1.3759769712682053,1.0833040382113512
1,22,dit-abacus-0.55,DiT,0.6206896551724138,1.1648097199741645,1.0365163756372546
1,22,dit-abacus-0.55-bfix,DiT,0.6206896551724138,1.1648097199741645,1.0365163756372546
1,22,dit-abacus-0.7,DiT,0.6206896551724138,1.3113309488992428,1.068980610719037
