case,n,eps_h,eps_a,hpwl_star,area_star,max_abs_dh,max_abs_da
0,21,0.7956167571305166,0.3391368618060031,4.224009275436401,6955.0,2.4542973379538635,2.3967526163967645
1,22,1.541402207554278,0.4167477287010455,4.203044295310974,9639.0,4.457961534453652,2.2259994919371104
2,23,0.4558081244359844,0.3759553095237067,7.319643974304199,9078.0,2.4242423277979315,1.7269074041501093
3,24,0.46652028025315784,0.3948035122298901,2.706777635961771,8378.0,1.2034598055993715,1.5128269699463628
4,25,0.8675712527870851,0.5020159584365753,10.280011892318726,7303.0,2.188584321641039,1.1262930773307853
5,26,0.9682109112665762,0.38482107421784195,8.139575004577637,8100.0,2.7262681702453477,1.3743206491731887
6,27,0.9165542635796333,0.5601781810146611,9.79465788602829,6675.0,1.7506786668272345,1.6882046276257452
7,28,0.8716313324128868,0.6058108385324861,33.46553524583578,10400.0,1.8794789605226079,1.3010560801369466
8,29,0.8653412829669132,0.3661295823418651,13.91958600282669,8736.0,1.6977559525905968,1.3536779643715997
9,30,0.7974479163512711,0.39364932819141085,17.86042496562004,9880.0,1.4574957930341381,1.2302070365508981
10,31,1.2130008043372467,0.44703715985300874,9.032452583312988,9384.0,3.0224767767901697,1.7027020867153888
11,32,1.0045943479555763,0.43435594678202016,8.369615083560348,9682.0,1.6561981873243021,1.9795947291885911
12,33,0.717349018384202,0.4583913042604977,13.02326250076294,10010.0,2.00036709163331,1.6582247964047272
13,34,0.6278518223788081,0.3916359784078871,14.403503656387329,9600.0,2.0423330835423927,2.0315597212242475
14,35,0.8208619738158458,0.3710106848276593,19.46352607011795,8262.0,2.099417793140693,1.7645319482217112
15,36,0.935536020613557,0.6145843065305827,24.966972589492798,10812.0,1.9507522976296496,1.8440153189287605
16,37,0.7317262542880971,0.5734484261455113,25.827973037958145,11543.0,2.903635928350566,2.2591739939382562
17,38,1.4451755578683265,0.7114743337548719,10.85956346988678,15872.0,2.567931101186835,1.5409246466025712
18,39,1.3157961903211857,0.4818315465855172,9.37622082233429,11500.0,2.784448882282824,1.7508766279751116
19,40,0.8747464030560079,0.3594121698404287,17.97185468673706,12650.0,2.538206139657587,1.4933796183339636
20,41,1.4016600797461392,0.4753765796960343,16.794945240020752,11830.0,4.666358466578872,1.7492723884419672
21,42,1.0290106209319072,0.5333921239631072,18.659390926361084,13184.0,1.4917258666377935,1.6740974957697792
22,43,1.0049612760944284,0.43434638494325806,24.053417801856995,13802.0,4.097104583283515,2.7191571614879826
23,44,0.9029460652164703,0.4636490952190473,92.31591415405273,11532.0,1.5666789118084123,2.3526939586909834
24,45,1.3674565233100417,0.9647995884712093,24.38311243057251,13482.0,2.954963213769217,1.5575826045152001
25,46,1.12377558922651,0.5296611802927913,45.52871799468994,12864.0,1.70158500282248,2.2086356455106833
26,47,0.9808179585843946,0.42710422294827466,26.750430822372437,18088.0,1.787011239245301,1.2979051732137739
27,48,0.9381655379015414,0.31141856118293654,29.070360898971558,15875.0,3.1498541804395077,1.2570223323144771
28,49,1.506885188092142,0.6159269056888044,21.06318187713623,15544.0,2.8634776060800697,2.2762794045627985
29,50,1.4698668242451913,0.538583156651004,18.953474402427673,19710.0,2.2871772725143606,1.7613425213603466
30,51,0.8605196672652906,0.33516941283488255,69.14704132080078,18288.0,1.346497983885384,1.824805084110081
31,52,1.1527860246469888,0.5989473971875701,70.35037517547607,17272.0,1.972158540872738,1.7709580156794598
32,53,0.9293871927605426,0.47951834315375996,35.591615088284016,16200.0,3.5044525729610254,2.177004037094521
33,54,1.5289523834081136,0.7253001185834336,36.75330150127411,17920.0,2.0786316116989774,1.4277594909093587
34,55,1.0747034042357888,0.3863760899111697,26.56203293800354,16416.0,3.7934524780951677,1.9021102784524637
35,56,1.4776041443906194,0.6065688629820174,21.67288863658905,17250.0,2.4891793713237114,1.411311715554613
36,57,1.6154813054999324,0.78018764320243,48.86099910736084,19468.0,2.9186851564521903,1.731942828393962
37,58,1.2688579199113676,0.6095345359794759,55.188109397888184,16758.0,3.173374479595407,1.685087358451063
38,59,1.67013387559558,0.8578215100734614,76.70390486717224,17760.0,3.040598336202871,1.981375376600882
39,60,1.042641079525659,0.35160860102802527,94.90005850791931,17584.0,2.5201146283924145,1.3835661655952345
40,61,1.1456898614931021,0.4198012669626803,43.51637077331543,19388.0,1.986183135962499,1.312501063102758
41,62,1.557291038971901,0.8783210439841471,52.13325762748718,21504.0,2.875856388666405,1.4748845695317943
42,63,1.0664311628721324,0.40979024782419504,25.330843448638916,17856.0,3.732014370098778,1.4129370975318725
43,64,1.4753921162900951,0.9787103473507017,63.40838634967804,20538.0,6.201600576092173,2.2427103905758945
44,65,1.3260276835266742,0.6304761088739985,108.79293870925903,19344.0,2.5328647437554483,1.666398871953504
45,66,0.9561424546272603,0.5413797310385347,80.30556869506836,20349.0,2.517039615463296,1.492768984336741
46,67,1.2406554918246147,0.3886264287896328,58.07007598876953,23056.0,2.380019111081351,1.4391587134360901
47,68,1.169564736700477,0.33519861839813725,42.33544045686722,23373.0,1.776332607879108,1.4299308746124986
48,69,1.3768065279263477,0.7781628912837268,94.13239097595215,23858.0,1.876365354629966,2.0669879878366593
49,70,1.4005815329080202,0.8754788781230809,71.97932577133179,22218.0,2.6689174366640005,1.9717829814235277
50,71,1.391415467085423,0.4617252592780201,31.703044652938843,19764.0,2.518751786527363,1.4143009651649694
51,72,1.9891954078633036,1.0235623049681397,75.41585159301758,23688.0,2.5466856141825485,1.5305092530021074
52,73,1.3835677959549915,0.8581294884892992,72.19385552406311,19239.0,2.0327439318190677,1.4497549865527737
53,74,1.4644321903399993,0.9338121721379342,160.2510118484497,24393.0,2.3720756556119116,1.9120204627024864
54,75,1.920249547367566,0.7631958207127545,47.237220764160156,26508.0,2.5624204868596507,1.7584148967145536
55,76,1.4469485259935628,0.6668289488822197,159.86244201660156,23691.0,2.2283203748205658,1.8841224296195562
56,77,1.2602983548801387,0.4694389173258413,47.76680040359497,26224.0,4.45111597052717,1.5692774400125802
57,78,1.328205124953676,0.6460126587148134,186.3966064453125,24528.0,1.9737533122219686,1.8272375960075098
58,79,1.2455851415354124,0.5098521189315737,55.747272968292236,23829.0,2.283533009373435,1.629473902690451
59,80,1.2151600818343655,0.8064152456616145,407.9580614566803,24957.0,2.1222393579869747,1.9963570531672015
60,81,1.1146096673578643,0.35746505432898457,93.1352676153183,22952.0,2.225250172937922,1.8009885579219507
61,82,1.9345098731924195,0.8481240906941423,66.48018455505371,22080.0,3.1959705878011166,1.9261129704408075
62,83,1.304177660309632,0.4960433654815182,194.5011429786682,24616.0,2.2064899715718065,1.4013613594152001
63,84,1.6226108602636375,0.8889007378397271,112.39431691169739,25920.0,2.3967797544929743,1.9157543811556523
64,85,1.3261214660071552,0.6323563081655346,143.16944122314453,27354.0,2.129633654641904,2.0233897233527633
65,86,1.8397674130384742,0.76355693760996,98.34204483032227,28275.0,3.617947596028757,1.7575109349463338
66,87,2.2089424072188963,0.8544861980170113,80.49023222923279,28341.0,3.7102134022632174,1.5683187071200988
67,88,1.9017792027025706,0.636234631223928,58.62579154968262,27811.0,3.880497032114354,1.7829393001522533
68,89,1.6319993333150506,0.8278307156435716,100.36042594909668,28560.0,2.294646341834411,1.4769647762732785
69,90,1.4294231557159538,0.8862568098216224,246.75273275375366,28684.0,1.9688376868520006,2.0103287313158282
