name,s100,s15,feasible
raw,1.4255072692085353,1.4039724455013338,99
oracle,1.4022783352303192,1.3748429238756306,100
gap_0.000,1.402278336042951,1.3748429238769733,100
gap_0.025,1.402278336042951,1.3748429238769733,100
gap_0.050,1.402278336042951,1.3748429238769733,100
gap_0.075,1.402278336042951,1.3748429238769733,100
gap_0.100,1.4022798315656897,1.3748449744357873,100
gap_0.125,1.4022798315656897,1.3748449744357873,100
gap_0.150,1.4022798315656897,1.3748449744357873,100
gap_0.175,1.4022798315656897,1.3748449744357873,100
gap_0.200,1.4022798315656897,1.3748449744357873,100
gap_0.225,1.4022798315656897,1.3748449744357873,100
gap_0.250,1.4022798315656897,1.3748449744357873,100
gap_0.275,1.4022798315656897,1.3748449744357873,100
gap_0.300,1.4022798315656897,1.3748449744357873,100
gap_0.325,1.4022798315656897,1.3748449744357873,100
gap_0.350,1.4022798315656897,1.3748449744357873,100
gap_0.375,1.4022798315656897,1.3748449744357873,100
gap_0.400,1.4022798315656897,1.3748449744357873,100
gap_0.425,1.4022798315656897,1.3748449744357873,100
gap_0.450,1.4022798315656897,1.3748449744357873,100
gap_0.475,1.4022798315656897,1.3748449744357873,100
gap_0.500,1.4022798315656897,1.3748449744357873,100
gap_0.525,1.4022798315656897,1.3748449744357873,100
gap_0.550,1.4022798315656897,1.3748449744357873,100
gap_0.575,1.4022798315656897,1.3748449744357873,100
gap_0.600,1.4022798315656897,1.3748449744357873,100
gap_0.625,1.4022798315656897,1.3748449744357873,100
gap_0.650,1.4022798315656897,1.3748449744357873,100
gap_0.675,1.4022798315656897,1.3748449744357873,100
gap_0.700,1.4022798315656897,1.3748449744357873,100
gap_0.725,1.4022798315656897,1.3748449744357873,100
gap_0.750,1.4022798315656897,1.3748449744357873,100
gap_0.775,1.4022798315656897,1.3748449744357873,100
gap_0.800,1.4022798315656897,1.3748449744357873,100
gap_0.825,1.4022798315656897,1.3748449744357873,100
gap_0.850,1.4022798315656897,1.3748449744357873,100
gap_0.875,1.4022798315656897,1.3748449744357873,100
gap_0.900,1.4022798315656897,1.3748449744357873,100
gap_0.925,1.4022798315656897,1.3748449744357873,100
gap_0.950,1.4022798315656897,1.3748449744357873,100
gap_0.975,1.4022798315656897,1.3748449744357873,100
gap_1.000,1.4022798315656897,1.3748449744357873,100
